 
****************************************
Report : cell
Design : mem_system
Version: B-2008.09-SP3
Date   : Wed Apr 20 15:48:46 2016
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    p - parameterized
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
SM_Flops[0]               dff_216                         14.079000 h, n
SM_Flops[1]               dff_217                         12.201800 h, n
SM_Flops[2]               dff_218                         11.732500 h, n
SM_Flops[3]               dff_219                         14.548300 h, n
SM_Flops[4]               dff_220                         11.732500 h, n
U159                      AND2X2          gscl45nm        2.815800  
U160                      BUFX2           gscl45nm        2.346500  
U161                      INVX1           gscl45nm        1.407900  
U162                      INVX1           gscl45nm        1.407900  
U163                      INVX1           gscl45nm        1.407900  
U164                      INVX1           gscl45nm        1.407900  
U165                      INVX1           gscl45nm        1.407900  
U166                      INVX1           gscl45nm        1.407900  
U167                      INVX1           gscl45nm        1.407900  
U168                      INVX1           gscl45nm        1.407900  
U169                      INVX1           gscl45nm        1.407900  
U170                      INVX1           gscl45nm        1.407900  
U171                      INVX1           gscl45nm        1.407900  
U172                      INVX1           gscl45nm        1.407900  
U173                      OR2X1           gscl45nm        2.346500  
U174                      AND2X1          gscl45nm        2.346500  
U175                      OR2X1           gscl45nm        2.346500  
U176                      AND2X1          gscl45nm        2.346500  
U177                      INVX1           gscl45nm        1.407900  
U178                      AND2X1          gscl45nm        2.346500  
U179                      INVX1           gscl45nm        1.407900  
U180                      OR2X1           gscl45nm        2.346500  
U181                      BUFX2           gscl45nm        2.346500  
U182                      BUFX2           gscl45nm        2.346500  
U183                      INVX1           gscl45nm        1.407900  
U184                      INVX1           gscl45nm        1.407900  
U185                      AND2X1          gscl45nm        2.346500  
U186                      AND2X1          gscl45nm        2.346500  
U187                      AND2X1          gscl45nm        2.346500  
U188                      AND2X1          gscl45nm        2.346500  
U189                      AND2X1          gscl45nm        2.346500  
U190                      AND2X1          gscl45nm        2.346500  
U191                      AND2X1          gscl45nm        2.346500  
U192                      AND2X1          gscl45nm        2.346500  
U193                      AND2X1          gscl45nm        2.346500  
U194                      AND2X1          gscl45nm        2.346500  
U195                      AND2X1          gscl45nm        2.346500  
U196                      AND2X1          gscl45nm        2.346500  
U197                      AND2X1          gscl45nm        2.346500  
U198                      INVX1           gscl45nm        1.407900  
U199                      INVX1           gscl45nm        1.407900  
U200                      AND2X1          gscl45nm        2.346500  
U201                      AND2X1          gscl45nm        2.346500  
U202                      AND2X1          gscl45nm        2.346500  
U203                      AND2X1          gscl45nm        2.346500  
U204                      AND2X1          gscl45nm        2.346500  
U205                      INVX1           gscl45nm        1.407900  
U206                      INVX1           gscl45nm        1.407900  
U207                      INVX1           gscl45nm        1.407900  
U208                      INVX1           gscl45nm        1.407900  
U209                      INVX1           gscl45nm        1.407900  
U210                      AND2X1          gscl45nm        2.346500  
U211                      AND2X1          gscl45nm        2.346500  
U212                      AND2X1          gscl45nm        2.346500  
U213                      AND2X1          gscl45nm        2.346500  
U214                      AND2X1          gscl45nm        2.346500  
U215                      OR2X1           gscl45nm        2.346500  
U216                      BUFX2           gscl45nm        2.346500  
U217                      OR2X1           gscl45nm        2.346500  
U218                      INVX1           gscl45nm        1.407900  
U219                      INVX1           gscl45nm        1.407900  
U220                      BUFX2           gscl45nm        2.346500  
U221                      BUFX2           gscl45nm        2.346500  
U222                      INVX1           gscl45nm        1.407900  
U223                      INVX1           gscl45nm        1.407900  
U224                      INVX1           gscl45nm        1.407900  
U225                      INVX1           gscl45nm        1.407900  
U226                      INVX1           gscl45nm        1.407900  
U227                      AND2X2          gscl45nm        2.815800  
U228                      BUFX2           gscl45nm        2.346500  
U229                      INVX1           gscl45nm        1.407900  
U230                      BUFX2           gscl45nm        2.346500  
U231                      AND2X2          gscl45nm        2.815800  
U232                      AND2X2          gscl45nm        2.815800  
U233                      OR2X2           gscl45nm        2.815800  
U234                      INVX1           gscl45nm        1.407900  
U235                      INVX1           gscl45nm        1.407900  
U236                      AND2X2          gscl45nm        2.815800  
U237                      AND2X2          gscl45nm        2.815800  
U238                      INVX1           gscl45nm        1.407900  
U239                      OR2X2           gscl45nm        2.815800  
U240                      OR2X2           gscl45nm        2.815800  
U241                      OR2X2           gscl45nm        2.815800  
U242                      AND2X2          gscl45nm        2.815800  
U243                      AND2X2          gscl45nm        2.815800  
U244                      INVX1           gscl45nm        1.407900  
U245                      AND2X2          gscl45nm        2.815800  
U246                      AND2X2          gscl45nm        2.815800  
U247                      AND2X2          gscl45nm        2.815800  
U248                      AND2X2          gscl45nm        2.815800  
U249                      AND2X2          gscl45nm        2.815800  
U250                      AND2X2          gscl45nm        2.815800  
U251                      AND2X2          gscl45nm        2.815800  
U252                      INVX1           gscl45nm        1.407900  
U253                      AND2X2          gscl45nm        2.815800  
U254                      AND2X2          gscl45nm        2.815800  
U255                      AND2X2          gscl45nm        2.815800  
U256                      AND2X2          gscl45nm        2.815800  
U257                      INVX1           gscl45nm        1.407900  
U258                      OR2X2           gscl45nm        2.815800  
U259                      INVX1           gscl45nm        1.407900  
U260                      AND2X2          gscl45nm        2.815800  
U261                      AND2X2          gscl45nm        2.815800  
U262                      AND2X2          gscl45nm        2.815800  
U263                      INVX1           gscl45nm        1.407900  
U264                      AND2X2          gscl45nm        2.815800  
U265                      INVX1           gscl45nm        1.407900  
U266                      AND2X1          gscl45nm        2.346500  
U267                      INVX1           gscl45nm        1.407900  
U268                      AND2X1          gscl45nm        2.346500  
U269                      INVX1           gscl45nm        1.407900  
U270                      AND2X1          gscl45nm        2.346500  
U271                      INVX1           gscl45nm        1.407900  
U272                      AND2X1          gscl45nm        2.346500  
U273                      INVX1           gscl45nm        1.407900  
U274                      AND2X1          gscl45nm        2.346500  
U275                      INVX1           gscl45nm        1.407900  
U276                      AND2X1          gscl45nm        2.346500  
