SIMLOG:: Cycle           4 PC:     0000 I:     c0d4 R: 1   0     ffd4 M: 0 0     ffd4     0000
SIMLOG:: Cycle           5 PC:     0002 I:     90f9 R: 1   0     d4f9 M: 0 0     d4f9     0000
SIMLOG:: Cycle           6 PC:     0004 I:     c176 R: 1   1     0076 M: 0 0     0076     0000
SIMLOG:: Cycle           7 PC:     0006 I:     91e9 R: 1   1     76e9 M: 0 0     76e9     0000
SIMLOG:: Cycle           8 PC:     0008 I:     c29f R: 1   2     ff9f M: 0 0     ff9f     0000
SIMLOG:: Cycle           9 PC:     000a I:     9252 R: 1   2     9f52 M: 0 0     9f52     ff9f
SIMLOG:: Cycle          10 PC:     000c I:     c3d0 R: 1   3     ffd0 M: 0 0     ffd0     0000
SIMLOG:: Cycle          11 PC:     000e I:     936f R: 1   3     d06f M: 0 0     d06f     ffd0
SIMLOG:: Cycle          12 PC:     0010 I:     c485 R: 1   4     ff85 M: 0 0     ff85     0000
SIMLOG:: Cycle          13 PC:     0012 I:     940c R: 1   4     850c M: 0 0     850c     d4f9
SIMLOG:: Cycle          14 PC:     0014 I:     c5ac R: 1   5     ffac M: 0 0     ffac     0000
SIMLOG:: Cycle          15 PC:     0016 I:     9514 R: 1   5     ac14 M: 0 0     ac14     d4f9
SIMLOG:: Cycle          16 PC:     0018 I:     c60e R: 1   6     000e M: 0 0     000e     d4f9
SIMLOG:: Cycle          17 PC:     001a I:     96c3 R: 1   6     0ec3 M: 0 0     0ec3     000e
SIMLOG:: Cycle          18 PC:     001c I:     c750 R: 1   7     0050 M: 0 0     0050     9f52
SIMLOG:: Cycle          19 PC:     001e I:     97f3 R: 1   7     50f3 M: 0 0     50f3     0050
SIMLOG:: Cycle          20 PC:     0020 I:     c200 R: 1   2     0000 M: 0 0     0000     d4f9
SIMLOG:: Cycle          21 PC:     0022 I:     c100 R: 1   1     0000 M: 0 0     0000     d4f9
SIMLOG:: Cycle          22 PC:     0024 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          23 PC:     0026 I:     7800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          24 PC:     0028 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          25 PC:     002a I:     7f08 R: 0   0     f350 M: 0 0     f350     d4f9
SIMLOG:: Cycle          26 PC:     002c I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          27 PC:     002e I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          28 PC:     0030 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          29 PC:     0032 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          30 PC:     0034 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          31 PC:     0036 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          32 PC:     0038 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          33 PC:     003a I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          34 PC:     003c I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          35 PC:     003e I:     7e08 R: 0   0     c30e M: 0 0     c30e     d4f9
SIMLOG:: Cycle          36 PC:     0040 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          37 PC:     0042 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          38 PC:     0044 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          39 PC:     0046 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          40 PC:     0048 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          41 PC:     004a I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          42 PC:     004c I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          43 PC:     004e I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          44 PC:     0050 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          45 PC:     0052 I:     7b04 R: 0   0     06fd M: 0 0     06fd     d4f9
SIMLOG:: Cycle          46 PC:     0058 I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          47 PC:     005a I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
SIMLOG:: Cycle          48 PC:     005c I:     0800 R: 0   0     d4f9 M: 0 0     d4f9     d4f9
